temperature	xi	s_xvi	wavelength	opacity
0.524608492851	-1.39759039879	s_xvi	3.9908	0.0	
0.524608492851	-1.35742974281	s_xvi	3.9908	0.0	
0.524608492851	-1.31726908684	s_xvi	3.9908	0.0	
0.524608492851	-1.27710843086	s_xvi	3.9908	0.0	
0.524608492851	-1.23694777489	s_xvi	3.9908	0.0	
0.524608492851	-1.19678711891	s_xvi	3.9908	0.0	
0.524608492851	-1.15662646294	s_xvi	3.9908	0.0	
0.524608492851	-1.11646580696	s_xvi	3.9908	0.0	
0.524608492851	-1.0763052702	s_xvi	3.9908	0.0	
0.524608492851	-1.03614461422	s_xvi	3.9908	0.0	
0.524608492851	-0.995983958244	s_xvi	3.9908	0.0	
0.524608492851	-0.955823302269	s_xvi	3.9908	0.0	
0.524608492851	-0.915662646294	s_xvi	3.9908	0.0	
0.524608492851	-0.875501990318	s_xvi	3.9908	0.0	
0.524608492851	-0.835341393948	s_xvi	3.9908	0.0	
0.524608492851	-0.795180737972	s_xvi	3.9908	0.0	
0.524608492851	-0.755020081997	s_xvi	3.9908	0.0	
0.524608492851	-0.714859426022	s_xvi	3.9908	0.0	
0.524608492851	-0.674698770046	s_xvi	3.9908	0.0	
0.524608492851	-0.634538173676	s_xvi	3.9908	0.0	
0.524608492851	-0.5943775177	s_xvi	3.9908	0.0	
0.524608492851	-0.554216861725	s_xvi	3.9908	0.0	
0.524608492851	-0.51405620575	s_xvi	3.9908	0.0	
0.524608492851	-0.473895579576	s_xvi	3.9908	0.0	
0.524608492851	-0.433734953403	s_xvi	3.9908	0.0	
0.524608492851	-0.393574297428	s_xvi	3.9908	0.0	
0.524608492851	-0.353413641453	s_xvi	3.9908	0.0	
0.524608492851	-0.31325301528	s_xvi	3.9908	0.0	
0.524608492851	-0.273092359304	s_xvi	3.9908	0.0	
0.524608492851	-0.232931733131	s_xvi	3.9908	0.0	
0.524608492851	-0.192771077156	s_xvi	3.9908	0.0	
0.524608492851	-0.152610436082	s_xvi	3.9908	0.0	
0.524608492851	-0.112449802458	s_xvi	3.9908	0.0	
0.524608492851	-0.0722891539335	s_xvi	3.9908	0.0	
0.524608492851	-0.0321285128593	s_xvi	3.9908	0.0	
0.524608492851	0.00803212821484	s_xvi	3.9908	0.0	
0.524608492851	0.048192769289	s_xvi	3.9908	0.0	
0.524608492851	0.0883534103632	s_xvi	3.9908	0.0	
0.524608492851	0.128514051437	s_xvi	3.9908	0.0	
0.524608492851	0.168674692512	s_xvi	3.9908	0.0	
0.524608492851	0.208835348487	s_xvi	3.9908	0.0	
0.524608492851	0.248995989561	s_xvi	3.9908	0.0	
0.524608492851	0.289156615734	s_xvi	3.9908	0.0	
0.524608492851	0.329317271709	s_xvi	3.9908	0.0	
0.524608492851	0.369477897882	s_xvi	3.9908	0.0	
0.524608492851	0.409638553858	s_xvi	3.9908	0.0	
0.524608492851	0.449799209833	s_xvi	3.9908	0.0	
0.524608492851	0.489959836006	s_xvi	3.9908	0.0	
0.524608492851	0.530120491982	s_xvi	3.9908	0.0	
0.524608492851	0.570281147957	s_xvi	3.9908	0.0	
0.524608492851	0.610441744328	s_xvi	3.9908	0.0	
0.524608492851	0.650602400303	s_xvi	3.9908	0.0	
0.524608492851	0.690763056278	s_xvi	3.9908	0.0	
0.524608492851	0.730923712254	s_xvi	3.9908	0.0	
0.524608492851	0.771084308624	s_xvi	3.9908	0.0	
0.524608492851	0.8112449646	s_xvi	3.9908	0.0	
0.524608492851	0.851405620575	s_xvi	3.9908	0.0	
0.524608492851	0.89156627655	s_xvi	3.9908	0.0	
0.524608492851	0.931726932526	s_xvi	3.9908	0.0	
0.524608492851	0.971887528896	s_xvi	3.9908	0.0	
0.524608492851	1.01204824448	s_xvi	3.9908	0.0	
0.524608492851	1.05220878124	s_xvi	3.9908	0.0	
0.524608492851	1.09236943722	s_xvi	3.9908	0.0	
0.524608492851	1.13253009319	s_xvi	3.9908	0.0	
0.524608492851	1.17269074917	s_xvi	3.9908	0.0	
0.524608492851	1.21285140514	s_xvi	3.9908	0.0	
0.524608492851	1.25301206112	s_xvi	3.9908	0.0	
0.524608492851	1.29317271709	s_xvi	3.9908	0.0	
0.524608492851	1.33333337307	s_xvi	3.9908	0.0	
0.524608492851	1.37349402905	s_xvi	3.9908	0.0	
0.524608492851	1.41365456581	s_xvi	3.9908	0.0	
0.524608492851	1.45381522179	s_xvi	3.9908	0.0	
0.524608492851	1.49397587776	s_xvi	3.9908	0.0	
0.524608492851	1.53413653374	s_xvi	3.9908	0.0	
0.524608492851	1.57429718971	s_xvi	3.9908	0.0	
0.524608492851	1.61445784569	s_xvi	3.9908	0.0	
0.524608492851	1.65461850166	s_xvi	3.9908	0.0	
0.524608492851	1.69477915764	s_xvi	3.9908	0.0	
0.524608492851	1.73493981361	s_xvi	3.9908	0.0	
0.524608492851	1.77510035038	s_xvi	3.9908	0.0	
0.524608492851	1.81526100636	s_xvi	3.9908	0.0	
0.524608492851	1.85542166233	s_xvi	3.9908	0.0	
0.524608492851	1.89558231831	s_xvi	3.9908	0.0	
0.524608492851	1.93574297428	s_xvi	3.9908	0.0	
0.524608492851	1.97590363026	s_xvi	3.9908	0.0	
0.524608492851	2.01606416702	s_xvi	3.9908	0.0	
0.524608492851	2.056224823	s_xvi	3.9908	0.0	
0.524608492851	2.09638547897	s_xvi	3.9908	0.0	
0.524608492851	2.13654613495	s_xvi	3.9908	1.03481e-18	
0.524608492851	2.17670679092	s_xvi	3.9908	1.62423e-18	
0.524608492851	2.2168674469	s_xvi	3.9908	2.53287e-18	
0.524608492851	2.25702810287	s_xvi	3.9908	3.92425e-18	
0.524608492851	2.29718875885	s_xvi	3.9908	6.04054e-18	
0.524608492851	2.33734941483	s_xvi	3.9908	9.23743e-18	
0.524608492851	2.3775100708	s_xvi	3.9908	1.40327e-17	
0.524608492851	2.41767072678	s_xvi	3.9908	2.1174e-17	
0.524608492851	2.45783138275	s_xvi	3.9908	3.17294e-17	
0.524608492851	2.49799203873	s_xvi	3.9908	4.72096e-17	
0.524608492851	2.5381526947	s_xvi	3.9908	6.97289e-17	
0.524608492851	2.57831335068	s_xvi	3.9908	1.02207e-16	
0.524608492851	2.61847400665	s_xvi	3.9908	1.48629e-16	
0.524608492851	2.65863442421	s_xvi	3.9908	2.14359e-16	
0.524608492851	2.69879508018	s_xvi	3.9908	3.06503e-16	
0.524608492851	2.73895573616	s_xvi	3.9908	4.34338e-16	
0.524608492851	2.77911639214	s_xvi	3.9908	6.09762e-16	
0.524608492851	2.81927704811	s_xvi	3.9908	8.47754e-16	
0.524608492851	2.85943770409	s_xvi	3.9908	1.16683e-15	
0.524608492851	2.89959836006	s_xvi	3.9908	1.58939e-15	
0.524608492851	2.93975901604	s_xvi	3.9908	2.14199e-15	
0.524608492851	2.97991967201	s_xvi	3.9908	2.85536e-15	
0.524608492851	3.02008032799	s_xvi	3.9908	3.76423e-15	
0.524608492851	3.06024098396	s_xvi	3.9908	4.90694e-15	
0.524608492851	3.10040163994	s_xvi	3.9908	6.32465e-15	
