temperature	xi	ne_viii	wavelength	opacity
0.5	6.03212833405	ne_viii	780.324	0.0	
0.5	6.07228899002	ne_viii	780.324	0.0	
0.5	6.112449646	ne_viii	780.324	0.0	
0.5	6.15261030197	ne_viii	780.324	0.0	
0.5	6.19277095795	ne_viii	780.324	0.0	
0.5	6.23293161392	ne_viii	780.324	0.0	
0.5	6.2730922699	ne_viii	780.324	0.0	
0.5	6.31325292587	ne_viii	780.324	0.0	
0.5	6.35341358185	ne_viii	780.324	0.0	
0.5	6.39357423782	ne_viii	780.324	0.0	
0.5	6.4337348938	ne_viii	780.324	0.0	
0.5	6.47389554977	ne_viii	780.324	0.0	
0.5	6.51405620575	ne_viii	780.324	0.0	
0.5	6.55421686172	ne_viii	780.324	0.0	
0.5	6.5943775177	ne_viii	780.324	0.0	
0.5	6.63453817368	ne_viii	780.324	0.0	
0.5	6.67469882965	ne_viii	780.324	0.0	
0.5	6.71485948563	ne_viii	780.324	0.0	
0.5	6.7550201416	ne_viii	780.324	0.0	
0.5	6.79518079758	ne_viii	780.324	0.0	
0.5	6.83534145355	ne_viii	780.324	0.0	
0.5	6.87550210953	ne_viii	780.324	0.0	
0.5	6.9156627655	ne_viii	780.324	0.0	
0.5	6.95582342148	ne_viii	780.324	0.0	
0.5	6.99598407745	ne_viii	780.324	0.0	
0.5	7.03614473343	ne_viii	780.324	0.0	
0.5	7.0763053894	ne_viii	780.324	0.0	
0.5	7.11646604538	ne_viii	780.324	0.0	
0.5	7.15662670135	ne_viii	780.324	0.0	
0.5	7.19678735733	ne_viii	780.324	0.0	
0.5	7.23694801331	ne_viii	780.324	0.0	
0.5	7.27710866928	ne_viii	780.324	0.0	
0.5	7.31726884842	ne_viii	780.324	0.0	
0.5	7.35742950439	ne_viii	780.324	0.0	
0.5	7.39759016037	ne_viii	780.324	0.0	
0.5	7.43775081635	ne_viii	780.324	0.0	
0.5	7.47791147232	ne_viii	780.324	0.0	
0.5	7.5180721283	ne_viii	780.324	0.0	
0.5	7.55823278427	ne_viii	780.324	0.0	
0.5	7.59839344025	ne_viii	780.324	0.0	
0.5	7.63855409622	ne_viii	780.324	0.0	
0.5	7.6787147522	ne_viii	780.324	0.0	
0.5	7.71887540817	ne_viii	780.324	0.0	
0.5	7.75903606415	ne_viii	780.324	0.0	
0.5	7.79919672012	ne_viii	780.324	0.0	
0.5	7.8393573761	ne_viii	780.324	0.0	
0.5	7.87951803207	ne_viii	780.324	0.0	
0.5	7.91967868805	ne_viii	780.324	0.0	
0.5	7.95983934402	ne_viii	780.324	0.0	
0.5	8.0	ne_viii	780.324	0.0	
0.524608492851	-2.0	ne_viii	780.324	0.0	
0.524608492851	-1.95983934402	ne_viii	780.324	0.0	
0.524608492851	-1.91967868805	ne_viii	780.324	0.0	
0.524608492851	-1.87951803207	ne_viii	780.324	0.0	
0.524608492851	-1.8393573761	ne_viii	780.324	0.0	
0.524608492851	-1.79919683933	ne_viii	780.324	0.0	
0.524608492851	-1.75903618336	ne_viii	780.324	0.0	
0.524608492851	-1.71887552738	ne_viii	780.324	0.0	
0.524608492851	-1.67871487141	ne_viii	780.324	0.0	
0.524608492851	-1.63855421543	ne_viii	780.324	0.0	
0.524608492851	-1.59839355946	ne_viii	780.324	0.0	
0.524608492851	-1.55823290348	ne_viii	780.324	0.0	
0.524608492851	-1.51807224751	ne_viii	780.324	0.0	
0.524608492851	-1.47791159153	ne_viii	780.324	0.0	
0.524608492851	-1.43775105476	ne_viii	780.324	0.0	
0.524608492851	-1.39759039879	ne_viii	780.324	0.0	
0.524608492851	-1.35742974281	ne_viii	780.324	0.0	
0.524608492851	-1.31726908684	ne_viii	780.324	0.0	
0.524608492851	-1.27710843086	ne_viii	780.324	0.0	
0.524608492851	-1.23694777489	ne_viii	780.324	0.0	
0.524608492851	-1.19678711891	ne_viii	780.324	0.0	
0.524608492851	-1.15662646294	ne_viii	780.324	0.0	
0.524608492851	-1.11646580696	ne_viii	780.324	0.0	
0.524608492851	-1.0763052702	ne_viii	780.324	0.0	
0.524608492851	-1.03614461422	ne_viii	780.324	0.0	
0.524608492851	-0.995983958244	ne_viii	780.324	0.0	
0.524608492851	-0.955823302269	ne_viii	780.324	0.0	
0.524608492851	-0.915662646294	ne_viii	780.324	0.0	
0.524608492851	-0.875501990318	ne_viii	780.324	0.0	
0.524608492851	-0.835341393948	ne_viii	780.324	0.0	
0.524608492851	-0.795180737972	ne_viii	780.324	0.0	
0.524608492851	-0.755020081997	ne_viii	780.324	0.0	
0.524608492851	-0.714859426022	ne_viii	780.324	0.0	
0.524608492851	-0.674698770046	ne_viii	780.324	1.34138e-14	
0.524608492851	-0.634538173676	ne_viii	780.324	1.77159e-14	
0.524608492851	-0.5943775177	ne_viii	780.324	2.31663e-14	
0.524608492851	-0.554216861725	ne_viii	780.324	3.00168e-14	
0.524608492851	-0.51405620575	ne_viii	780.324	3.85676e-14	
0.524608492851	-0.473895579576	ne_viii	780.324	4.91767e-14	
0.524608492851	-0.433734953403	ne_viii	780.324	6.22714e-14	
0.524608492851	-0.393574297428	ne_viii	780.324	7.83622e-14	
0.524608492851	-0.353413641453	ne_viii	780.324	9.80589e-14	
0.524608492851	-0.31325301528	ne_viii	780.324	1.2209e-13	
0.524608492851	-0.273092359304	ne_viii	780.324	1.51324e-13	
0.524608492851	-0.232931733131	ne_viii	780.324	1.86798e-13	
0.524608492851	-0.192771077156	ne_viii	780.324	2.29749e-13	
0.524608492851	-0.152610436082	ne_viii	780.324	2.81651e-13	
0.524608492851	-0.112449802458	ne_viii	780.324	3.44254e-13	
0.524608492851	-0.0722891539335	ne_viii	780.324	4.1964e-13	
0.524608492851	-0.0321285128593	ne_viii	780.324	5.10286e-13	
0.524608492851	0.00803212821484	ne_viii	780.324	6.19126e-13	
0.524608492851	0.048192769289	ne_viii	780.324	7.49638e-13	
0.524608492851	0.0883534103632	ne_viii	780.324	9.05939e-13	
0.524608492851	0.128514051437	ne_viii	780.324	1.0929e-12	
0.524608492851	0.168674692512	ne_viii	780.324	1.31627e-12	
0.524608492851	0.208835348487	ne_viii	780.324	1.58284e-12	
0.524608492851	0.248995989561	ne_viii	780.324	1.9006e-12	
0.524608492851	0.289156615734	ne_viii	780.324	2.27895e-12	
0.524608492851	0.329317271709	ne_viii	780.324	2.72894e-12	
0.524608492851	0.369477897882	ne_viii	780.324	3.2635e-12	
0.524608492851	0.409638553858	ne_viii	780.324	3.89779e-12	
0.524608492851	0.449799209833	ne_viii	780.324	4.64949e-12	
0.524608492851	0.489959836006	ne_viii	780.324	5.53912e-12	
0.524608492851	0.530120491982	ne_viii	780.324	6.59052e-12	
0.524608492851	0.570281147957	ne_viii	780.324	7.83126e-12	
0.524608492851	0.610441744328	ne_viii	780.324	9.29297e-12	
0.524608492851	0.650602400303	ne_viii	780.324	1.10119e-11	
0.524608492851	0.690763056278	ne_viii	780.324	1.3029e-11	
