temperature	xi	fe_xxv	wavelength	opacity
0.524608492851	0.8112449646	fe_xxv	1.8505	0.0	
0.524608492851	0.851405620575	fe_xxv	1.8505	0.0	
0.524608492851	0.89156627655	fe_xxv	1.8505	0.0	
0.524608492851	0.931726932526	fe_xxv	1.8505	0.0	
0.524608492851	0.971887528896	fe_xxv	1.8505	0.0	
0.524608492851	1.01204824448	fe_xxv	1.8505	0.0	
0.524608492851	1.05220878124	fe_xxv	1.8505	0.0	
0.524608492851	1.09236943722	fe_xxv	1.8505	0.0	
0.524608492851	1.13253009319	fe_xxv	1.8505	0.0	
0.524608492851	1.17269074917	fe_xxv	1.8505	0.0	
0.524608492851	1.21285140514	fe_xxv	1.8505	0.0	
0.524608492851	1.25301206112	fe_xxv	1.8505	0.0	
0.524608492851	1.29317271709	fe_xxv	1.8505	0.0	
0.524608492851	1.33333337307	fe_xxv	1.8505	0.0	
0.524608492851	1.37349402905	fe_xxv	1.8505	0.0	
0.524608492851	1.41365456581	fe_xxv	1.8505	0.0	
0.524608492851	1.45381522179	fe_xxv	1.8505	0.0	
0.524608492851	1.49397587776	fe_xxv	1.8505	0.0	
0.524608492851	1.53413653374	fe_xxv	1.8505	0.0	
0.524608492851	1.57429718971	fe_xxv	1.8505	0.0	
0.524608492851	1.61445784569	fe_xxv	1.8505	0.0	
0.524608492851	1.65461850166	fe_xxv	1.8505	0.0	
0.524608492851	1.69477915764	fe_xxv	1.8505	0.0	
0.524608492851	1.73493981361	fe_xxv	1.8505	0.0	
0.524608492851	1.77510035038	fe_xxv	1.8505	0.0	
0.524608492851	1.81526100636	fe_xxv	1.8505	0.0	
0.524608492851	1.85542166233	fe_xxv	1.8505	0.0	
0.524608492851	1.89558231831	fe_xxv	1.8505	0.0	
0.524608492851	1.93574297428	fe_xxv	1.8505	0.0	
0.524608492851	1.97590363026	fe_xxv	1.8505	0.0	
0.524608492851	2.01606416702	fe_xxv	1.8505	0.0	
0.524608492851	2.056224823	fe_xxv	1.8505	0.0	
0.524608492851	2.09638547897	fe_xxv	1.8505	0.0	
0.524608492851	2.13654613495	fe_xxv	1.8505	0.0	
0.524608492851	2.17670679092	fe_xxv	1.8505	0.0	
0.524608492851	2.2168674469	fe_xxv	1.8505	0.0	
0.524608492851	2.25702810287	fe_xxv	1.8505	0.0	
0.524608492851	2.29718875885	fe_xxv	1.8505	0.0	
0.524608492851	2.33734941483	fe_xxv	1.8505	0.0	
0.524608492851	2.3775100708	fe_xxv	1.8505	0.0	
0.524608492851	2.41767072678	fe_xxv	1.8505	0.0	
0.524608492851	2.45783138275	fe_xxv	1.8505	0.0	
0.524608492851	2.49799203873	fe_xxv	1.8505	0.0	
0.524608492851	2.5381526947	fe_xxv	1.8505	0.0	
0.524608492851	2.57831335068	fe_xxv	1.8505	0.0	
0.524608492851	2.61847400665	fe_xxv	1.8505	0.0	
0.524608492851	2.65863442421	fe_xxv	1.8505	0.0	
0.524608492851	2.69879508018	fe_xxv	1.8505	0.0	
0.524608492851	2.73895573616	fe_xxv	1.8505	0.0	
0.524608492851	2.77911639214	fe_xxv	1.8505	0.0	
0.524608492851	2.81927704811	fe_xxv	1.8505	0.0	
0.524608492851	2.85943770409	fe_xxv	1.8505	0.0	
0.524608492851	2.89959836006	fe_xxv	1.8505	0.0	
0.524608492851	2.93975901604	fe_xxv	1.8505	0.0	
0.524608492851	2.97991967201	fe_xxv	1.8505	0.0	
0.524608492851	3.02008032799	fe_xxv	1.8505	0.0	
0.524608492851	3.06024098396	fe_xxv	1.8505	0.0	
0.524608492851	3.10040163994	fe_xxv	1.8505	0.0	
0.524608492851	3.14056229591	fe_xxv	1.8505	0.0	
0.524608492851	3.18072295189	fe_xxv	1.8505	0.0	
0.524608492851	3.22088360786	fe_xxv	1.8505	0.0	
0.524608492851	3.26104426384	fe_xxv	1.8505	0.0	
0.524608492851	3.30120491982	fe_xxv	1.8505	0.0	
0.524608492851	3.34136557579	fe_xxv	1.8505	4.15253e-18	
0.524608492851	3.38152599335	fe_xxv	1.8505	7.21732e-18	
0.524608492851	3.42168664932	fe_xxv	1.8505	1.24932e-17	
0.524608492851	3.4618473053	fe_xxv	1.8505	2.15364e-17	
0.524608492851	3.50200796127	fe_xxv	1.8505	3.69689e-17	
0.524608492851	3.54216861725	fe_xxv	1.8505	6.31864e-17	
0.524608492851	3.58232927322	fe_xxv	1.8505	1.07519e-16	
0.524608492851	3.6224899292	fe_xxv	1.8505	1.82125e-16	
0.524608492851	3.66265058517	fe_xxv	1.8505	3.07034e-16	
0.524608492851	3.70281124115	fe_xxv	1.8505	5.151e-16	
0.524608492851	3.74297189713	fe_xxv	1.8505	8.59772e-16	
0.524608492851	3.7831325531	fe_xxv	1.8505	1.42744e-15	
0.524608492851	3.82329320908	fe_xxv	1.8505	2.35655e-15	
0.524608492851	3.86345386505	fe_xxv	1.8505	3.86745e-15	
0.524608492851	3.90361452103	fe_xxv	1.8505	6.30665e-15	
0.524608492851	3.943775177	fe_xxv	1.8505	1.02133e-14	
0.524608492851	3.98393583298	fe_xxv	1.8505	1.64142e-14	
0.524608492851	4.02409648895	fe_xxv	1.8505	2.61531e-14	
0.524608492851	4.06425714493	fe_xxv	1.8505	4.12584e-14	
0.524608492851	4.1044178009	fe_xxv	1.8505	6.43019e-14	
0.524608492851	4.14457845688	fe_xxv	1.8505	9.87109e-14	
0.524608492851	4.18473911285	fe_xxv	1.8505	1.4859e-13	
0.524608492851	4.22489976883	fe_xxv	1.8505	2.17895e-13	
0.524608492851	4.2650604248	fe_xxv	1.8505	3.08467e-13	
0.524608492851	4.30522108078	fe_xxv	1.8505	4.16968e-13	
0.524608492851	4.34538173676	fe_xxv	1.8505	5.31553e-13	
0.524608492851	4.38554239273	fe_xxv	1.8505	6.32853e-13	
0.524608492851	4.42570304871	fe_xxv	1.8505	7.00834e-13	
0.524608492851	4.46586322784	fe_xxv	1.8505	7.24496e-13	
0.524608492851	4.50602388382	fe_xxv	1.8505	7.06016e-13	
0.524608492851	4.54618453979	fe_xxv	1.8505	6.56695e-13	
0.524608492851	4.58634519577	fe_xxv	1.8505	5.90358e-13	
0.524608492851	4.62650585175	fe_xxv	1.8505	5.17138e-13	
0.524608492851	4.66666650772	fe_xxv	1.8505	4.45059e-13	
0.524608492851	4.7068271637	fe_xxv	1.8505	3.78196e-13	
0.524608492851	4.74698781967	fe_xxv	1.8505	3.183e-13	
0.524608492851	4.78714847565	fe_xxv	1.8505	2.66025e-13	
0.524608492851	4.82730913162	fe_xxv	1.8505	2.20992e-13	
0.524608492851	4.8674697876	fe_xxv	1.8505	1.82728e-13	
0.524608492851	4.90763044357	fe_xxv	1.8505	1.50534e-13	
0.524608492851	4.94779109955	fe_xxv	1.8505	1.23536e-13	
0.524608492851	4.98795175552	fe_xxv	1.8505	1.01066e-13	
0.524608492851	5.0281124115	fe_xxv	1.8505	8.24433e-14	
0.524608492851	5.06827306747	fe_xxv	1.8505	6.7069e-14	
0.524608492851	5.10843372345	fe_xxv	1.8505	5.44197e-14	
0.524608492851	5.14859437943	fe_xxv	1.8505	4.40444e-14	
0.524608492851	5.1887550354	fe_xxv	1.8505	3.55592e-14	
0.524608492851	5.22891569138	fe_xxv	1.8505	2.8639e-14	
0.524608492851	5.26907634735	fe_xxv	1.8505	2.30101e-14	
0.524608492851	5.30923700333	fe_xxv	1.8505	1.84438e-14	
0.524608492851	5.3493976593	fe_xxv	1.8505	1.47489e-14	
0.524608492851	5.38955831528	fe_xxv	1.8505	1.17669e-14	
0.524608492851	5.42971897125	fe_xxv	1.8505	9.3662e-15	
0.524608492851	5.46987962723	fe_xxv	1.8505	7.43839e-15	
0.524608492851	5.5100402832	fe_xxv	1.8505	5.89413e-15	
0.524608492851	5.55020093918	fe_xxv	1.8505	4.66049e-15	
0.524608492851	5.59036159515	fe_xxv	1.8505	3.67693e-15	
0.524608492851	5.63052225113	fe_xxv	1.8505	2.89461e-15	
0.524608492851	5.6706829071	fe_xxv	1.8505	2.27456e-15	
0.524608492851	5.71084356308	fe_xxv	1.8505	1.78452e-15	
0.524608492851	5.75100421906	fe_xxv	1.8505	1.39562e-15	
0.524608492851	5.79116487503	fe_xxv	1.8505	1.08982e-15	
0.524608492851	5.83132553101	fe_xxv	1.8505	8.50005e-16	
0.524608492851	5.87148571014	fe_xxv	1.8505	6.61818e-16	
