temperature	xi	ar_xviii	wavelength	opacity
0.5	3.943775177	ar_xviii	3.7311	7.62833e-14	
0.5	3.98393583298	ar_xviii	3.7311	8.63645e-14	
0.5	4.02409648895	ar_xviii	3.7311	9.69846e-14	
0.5	4.06425714493	ar_xviii	3.7311	1.08059e-13	
0.5	4.1044178009	ar_xviii	3.7311	1.19483e-13	
0.5	4.14457845688	ar_xviii	3.7311	1.3113e-13	
0.5	4.18473911285	ar_xviii	3.7311	1.42849e-13	
0.5	4.22489976883	ar_xviii	3.7311	1.54469e-13	
0.5	4.2650604248	ar_xviii	3.7311	1.65806e-13	
0.5	4.30522108078	ar_xviii	3.7311	1.76652e-13	
0.5	4.34538173676	ar_xviii	3.7311	1.86799e-13	
0.5	4.38554239273	ar_xviii	3.7311	1.9603e-13	
0.5	4.42570304871	ar_xviii	3.7311	2.04145e-13	
0.5	4.46586322784	ar_xviii	3.7311	2.10961e-13	
0.5	4.50602388382	ar_xviii	3.7311	2.16315e-13	
0.5	4.54618453979	ar_xviii	3.7311	2.2011e-13	
0.5	4.58634519577	ar_xviii	3.7311	2.22288e-13	
0.5	4.62650585175	ar_xviii	3.7311	2.22795e-13	
0.5	4.66666650772	ar_xviii	3.7311	2.21678e-13	
0.5	4.7068271637	ar_xviii	3.7311	2.19004e-13	
0.5	4.74698781967	ar_xviii	3.7311	2.14922e-13	
0.5	4.78714847565	ar_xviii	3.7311	2.09496e-13	
0.5	4.82730913162	ar_xviii	3.7311	2.03065e-13	
0.5	4.8674697876	ar_xviii	3.7311	1.95664e-13	
0.5	4.90763044357	ar_xviii	3.7311	1.87579e-13	
0.5	4.94779109955	ar_xviii	3.7311	1.78869e-13	
0.5	4.98795175552	ar_xviii	3.7311	1.69823e-13	
0.5	5.0281124115	ar_xviii	3.7311	1.60568e-13	
0.5	5.06827306747	ar_xviii	3.7311	1.51287e-13	
0.5	5.10843372345	ar_xviii	3.7311	1.42007e-13	
0.5	5.14859437943	ar_xviii	3.7311	1.32873e-13	
0.5	5.1887550354	ar_xviii	3.7311	1.23927e-13	
0.5	5.22891569138	ar_xviii	3.7311	1.15318e-13	
0.5	5.26907634735	ar_xviii	3.7311	1.07049e-13	
0.5	5.30923700333	ar_xviii	3.7311	9.91565e-14	
0.5	5.3493976593	ar_xviii	3.7311	9.16614e-14	
0.5	5.38955831528	ar_xviii	3.7311	8.45765e-14	
0.5	5.42971897125	ar_xviii	3.7311	7.79061e-14	
0.5	5.46987962723	ar_xviii	3.7311	7.16504e-14	
0.5	5.5100402832	ar_xviii	3.7311	6.57976e-14	
0.5	5.55020093918	ar_xviii	3.7311	6.03386e-14	
0.5	5.59036159515	ar_xviii	3.7311	5.52591e-14	
0.5	5.63052225113	ar_xviii	3.7311	5.05401e-14	
0.5	5.6706829071	ar_xviii	3.7311	4.61704e-14	
0.5	5.71084356308	ar_xviii	3.7311	4.21284e-14	
0.5	5.75100421906	ar_xviii	3.7311	3.83956e-14	
0.5	5.79116487503	ar_xviii	3.7311	3.49532e-14	
0.5	5.83132553101	ar_xviii	3.7311	3.17797e-14	
0.5	5.87148571014	ar_xviii	3.7311	2.88641e-14	
0.5	5.91164636612	ar_xviii	3.7311	2.61855e-14	
0.5	5.95180702209	ar_xviii	3.7311	2.37248e-14	
0.5	5.99196767807	ar_xviii	3.7311	2.14711e-14	
0.5	6.03212833405	ar_xviii	3.7311	1.94076e-14	
0.5	6.07228899002	ar_xviii	3.7311	1.75201e-14	
0.5	6.112449646	ar_xviii	3.7311	1.57955e-14	
0.5	6.15261030197	ar_xviii	3.7311	1.42213e-14	
0.5	6.19277095795	ar_xviii	3.7311	1.27861e-14	
0.5	6.23293161392	ar_xviii	3.7311	1.14789e-14	
0.5	6.2730922699	ar_xviii	3.7311	1.02898e-14	
0.5	6.31325292587	ar_xviii	3.7311	9.21267e-15	
0.5	6.35341358185	ar_xviii	3.7311	8.2317e-15	
0.5	6.39357423782	ar_xviii	3.7311	7.34169e-15	
0.5	6.4337348938	ar_xviii	3.7311	6.53718e-15	
0.5	6.47389554977	ar_xviii	3.7311	5.80958e-15	
0.5	6.51405620575	ar_xviii	3.7311	5.15151e-15	
0.5	6.55421686172	ar_xviii	3.7311	4.56106e-15	
0.5	6.5943775177	ar_xviii	3.7311	4.03032e-15	
0.5	6.63453817368	ar_xviii	3.7311	3.55446e-15	
0.5	6.67469882965	ar_xviii	3.7311	3.12933e-15	
0.5	6.71485948563	ar_xviii	3.7311	2.7479e-15	
0.5	6.7550201416	ar_xviii	3.7311	2.40754e-15	
0.5	6.79518079758	ar_xviii	3.7311	2.104e-15	
0.5	6.83534145355	ar_xviii	3.7311	1.83607e-15	
0.5	6.87550210953	ar_xviii	3.7311	1.59895e-15	
0.5	6.9156627655	ar_xviii	3.7311	1.38942e-15	
0.5	6.95582342148	ar_xviii	3.7311	1.20477e-15	
0.5	6.99598407745	ar_xviii	3.7311	1.04195e-15	
0.5	7.03614473343	ar_xviii	3.7311	8.9889e-16	
0.5	7.0763053894	ar_xviii	3.7311	7.74564e-16	
0.5	7.11646604538	ar_xviii	3.7311	6.6665e-16	
0.5	7.15662670135	ar_xviii	3.7311	5.72145e-16	
0.5	7.19678735733	ar_xviii	3.7311	4.89627e-16	
0.5	7.23694801331	ar_xviii	3.7311	4.1867e-16	
0.5	7.27710866928	ar_xviii	3.7311	3.57785e-16	
0.5	7.31726884842	ar_xviii	3.7311	3.04604e-16	
0.5	7.35742950439	ar_xviii	3.7311	2.59501e-16	
0.5	7.39759016037	ar_xviii	3.7311	2.20502e-16	
0.5	7.43775081635	ar_xviii	3.7311	1.8711e-16	
0.5	7.47791147232	ar_xviii	3.7311	1.58383e-16	
