temperature	xi	si_iii	wavelength	opacity
0.524608492851	2.93975901604	si_iii	1206.5	0.0	
0.524608492851	2.97991967201	si_iii	1206.5	0.0	
0.524608492851	3.02008032799	si_iii	1206.5	0.0	
0.524608492851	3.06024098396	si_iii	1206.5	0.0	
0.524608492851	3.10040163994	si_iii	1206.5	0.0	
0.524608492851	3.14056229591	si_iii	1206.5	0.0	
0.524608492851	3.18072295189	si_iii	1206.5	0.0	
0.524608492851	3.22088360786	si_iii	1206.5	0.0	
0.524608492851	3.26104426384	si_iii	1206.5	0.0	
0.524608492851	3.30120491982	si_iii	1206.5	0.0	
0.524608492851	3.34136557579	si_iii	1206.5	0.0	
0.524608492851	3.38152599335	si_iii	1206.5	0.0	
0.524608492851	3.42168664932	si_iii	1206.5	0.0	
0.524608492851	3.4618473053	si_iii	1206.5	0.0	
0.524608492851	3.50200796127	si_iii	1206.5	0.0	
0.524608492851	3.54216861725	si_iii	1206.5	0.0	
0.524608492851	3.58232927322	si_iii	1206.5	0.0	
0.524608492851	3.6224899292	si_iii	1206.5	0.0	
0.524608492851	3.66265058517	si_iii	1206.5	0.0	
0.524608492851	3.70281124115	si_iii	1206.5	0.0	
0.524608492851	3.74297189713	si_iii	1206.5	0.0	
0.524608492851	3.7831325531	si_iii	1206.5	0.0	
0.524608492851	3.82329320908	si_iii	1206.5	0.0	
0.524608492851	3.86345386505	si_iii	1206.5	0.0	
0.524608492851	3.90361452103	si_iii	1206.5	0.0	
0.524608492851	3.943775177	si_iii	1206.5	0.0	
0.524608492851	3.98393583298	si_iii	1206.5	0.0	
0.524608492851	4.02409648895	si_iii	1206.5	0.0	
0.524608492851	4.06425714493	si_iii	1206.5	0.0	
0.524608492851	4.1044178009	si_iii	1206.5	0.0	
0.524608492851	4.14457845688	si_iii	1206.5	0.0	
0.524608492851	4.18473911285	si_iii	1206.5	0.0	
0.524608492851	4.22489976883	si_iii	1206.5	0.0	
0.524608492851	4.2650604248	si_iii	1206.5	0.0	
0.524608492851	4.30522108078	si_iii	1206.5	0.0	
0.524608492851	4.34538173676	si_iii	1206.5	0.0	
0.524608492851	4.38554239273	si_iii	1206.5	0.0	
0.524608492851	4.42570304871	si_iii	1206.5	0.0	
0.524608492851	4.46586322784	si_iii	1206.5	0.0	
0.524608492851	4.50602388382	si_iii	1206.5	0.0	
0.524608492851	4.54618453979	si_iii	1206.5	0.0	
0.524608492851	4.58634519577	si_iii	1206.5	0.0	
0.524608492851	4.62650585175	si_iii	1206.5	0.0	
0.524608492851	4.66666650772	si_iii	1206.5	0.0	
0.524608492851	4.7068271637	si_iii	1206.5	0.0	
0.524608492851	4.74698781967	si_iii	1206.5	0.0	
