temperature	xi	mg_ii	wavelength	opacity
0.524608492851	-1.55823290348	mg_ii	2798.75	9.15663e-21	
0.524608492851	-1.51807224751	mg_ii	2798.75	8.37699e-21	
0.524608492851	-1.47791159153	mg_ii	2798.75	7.64088e-21	
0.524608492851	-1.43775105476	mg_ii	2798.75	6.94699e-21	
0.524608492851	-1.39759039879	mg_ii	2798.75	6.29383e-21	
0.524608492851	-1.35742974281	mg_ii	2798.75	5.67989e-21	
0.524608492851	-1.31726908684	mg_ii	2798.75	5.10367e-21	
0.524608492851	-1.27710843086	mg_ii	2798.75	4.56381e-21	
0.524608492851	-1.23694777489	mg_ii	2798.75	4.0591e-21	
0.524608492851	-1.19678711891	mg_ii	2798.75	3.58855e-21	
0.524608492851	-1.15662646294	mg_ii	2798.75	3.15137e-21	
0.524608492851	-1.11646580696	mg_ii	2798.75	2.74704e-21	
0.524608492851	-1.0763052702	mg_ii	2798.75	2.37519e-21	
0.524608492851	-1.03614461422	mg_ii	2798.75	2.03557e-21	
0.524608492851	-0.995983958244	mg_ii	2798.75	1.72795e-21	
0.524608492851	-0.955823302269	mg_ii	2798.75	1.45201e-21	
0.524608492851	-0.915662646294	mg_ii	2798.75	1.2072e-21	
0.524608492851	-0.875501990318	mg_ii	2798.75	9.92646e-22	
0.524608492851	-0.835341393948	mg_ii	2798.75	8.07083e-22	
0.524608492851	-0.795180737972	mg_ii	2798.75	6.48815e-22	
0.524608492851	-0.755020081997	mg_ii	2798.75	5.15759e-22	
0.524608492851	-0.714859426022	mg_ii	2798.75	4.05514e-22	
0.524608492851	-0.674698770046	mg_ii	2798.75	3.15475e-22	
0.524608492851	-0.634538173676	mg_ii	2798.75	2.42962e-22	
0.524608492851	-0.5943775177	mg_ii	2798.75	1.85342e-22	
0.524608492851	-0.554216861725	mg_ii	2798.75	1.40132e-22	
0.524608492851	-0.51405620575	mg_ii	2798.75	1.05076e-22	
0.524608492851	-0.473895579576	mg_ii	2798.75	7.81884e-23	
0.524608492851	-0.433734953403	mg_ii	2798.75	5.77713e-23	
0.524608492851	-0.393574297428	mg_ii	2798.75	4.24084e-23	
0.524608492851	-0.353413641453	mg_ii	2798.75	3.09441e-23	
0.524608492851	-0.31325301528	mg_ii	2798.75	2.24533e-23	
0.524608492851	-0.273092359304	mg_ii	2798.75	1.62076e-23	
0.524608492851	-0.232931733131	mg_ii	2798.75	1.16421e-23	
0.524608492851	-0.192771077156	mg_ii	2798.75	8.32383e-24	
0.524608492851	-0.152610436082	mg_ii	2798.75	5.92484e-24	
0.524608492851	-0.112449802458	mg_ii	2798.75	4.19902e-24	
0.524608492851	-0.0722891539335	mg_ii	2798.75	2.96333e-24	
0.524608492851	-0.0321285128593	mg_ii	2798.75	2.08254e-24	
0.524608492851	0.00803212821484	mg_ii	2798.75	1.45742e-24	
0.524608492851	0.048192769289	mg_ii	2798.75	1.01566e-24	
0.524608492851	0.0883534103632	mg_ii	2798.75	7.04796e-25	
0.524608492851	0.128514051437	mg_ii	2798.75	4.86975e-25	
0.524608492851	0.168674692512	mg_ii	2798.75	3.35001e-25	
0.524608492851	0.208835348487	mg_ii	2798.75	2.29431e-25	
0.524608492851	0.248995989561	mg_ii	2798.75	1.56419e-25	
0.524608492851	0.289156615734	mg_ii	2798.75	1.06152e-25	
0.524608492851	0.329317271709	mg_ii	2798.75	7.17051e-26	
0.524608492851	0.369477897882	mg_ii	2798.75	4.82089e-26	
0.524608492851	0.409638553858	mg_ii	2798.75	3.22587e-26	
0.524608492851	0.449799209833	mg_ii	2798.75	2.14831e-26	
0.524608492851	0.489959836006	mg_ii	2798.75	1.42389e-26	
0.524608492851	0.530120491982	mg_ii	2798.75	9.39253e-27	
0.524608492851	0.570281147957	mg_ii	2798.75	6.16618e-27	
0.524608492851	0.610441744328	mg_ii	2798.75	4.02889e-27	
0.524608492851	0.650602400303	mg_ii	2798.75	2.61995e-27	
0.524608492851	0.690763056278	mg_ii	2798.75	1.69569e-27	
0.524608492851	0.730923712254	mg_ii	2798.75	1.0923e-27	
0.524608492851	0.771084308624	mg_ii	2798.75	7.00303e-28	
0.524608492851	0.8112449646	mg_ii	2798.75	4.46847e-28	
0.524608492851	0.851405620575	mg_ii	2798.75	2.83756e-28	
0.524608492851	0.89156627655	mg_ii	2798.75	1.79314e-28	
0.524608492851	0.931726932526	mg_ii	2798.75	1.12756e-28	
0.524608492851	0.971887528896	mg_ii	2798.75	7.05443e-29	
0.524608492851	1.01204824448	mg_ii	2798.75	4.39043e-29	
0.524608492851	1.05220878124	mg_ii	2798.75	2.71773e-29	
0.524608492851	1.09236943722	mg_ii	2798.75	1.67285e-29	
0.524608492851	1.13253009319	mg_ii	2798.75	1.02364e-29	
0.524608492851	1.17269074917	mg_ii	2798.75	6.22516e-30	
0.524608492851	1.21285140514	mg_ii	2798.75	3.76112e-30	
0.524608492851	1.25301206112	mg_ii	2798.75	2.25679e-30	
0.524608492851	1.29317271709	mg_ii	2798.75	0.0	
0.524608492851	1.33333337307	mg_ii	2798.75	0.0	
0.524608492851	1.37349402905	mg_ii	2798.75	0.0	
0.524608492851	1.41365456581	mg_ii	2798.75	0.0	
0.524608492851	1.45381522179	mg_ii	2798.75	0.0	
0.524608492851	1.49397587776	mg_ii	2798.75	0.0	
0.524608492851	1.53413653374	mg_ii	2798.75	0.0	
0.524608492851	1.57429718971	mg_ii	2798.75	0.0	
0.524608492851	1.61445784569	mg_ii	2798.75	0.0	
0.524608492851	1.65461850166	mg_ii	2798.75	0.0	
0.524608492851	1.69477915764	mg_ii	2798.75	0.0	
0.524608492851	1.73493981361	mg_ii	2798.75	0.0	
0.524608492851	1.77510035038	mg_ii	2798.75	0.0	
0.524608492851	1.81526100636	mg_ii	2798.75	0.0	
