temperature	xi	s_iv	wavelength	opacity
0.524608492851	-0.634538173676	s_iv	1062.66	5.35578e-11	
0.524608492851	-0.5943775177	s_iv	1062.66	4.82386e-11	
0.524608492851	-0.554216861725	s_iv	1062.66	4.30312e-11	
0.524608492851	-0.51405620575	s_iv	1062.66	3.8009e-11	
0.524608492851	-0.473895579576	s_iv	1062.66	3.32369e-11	
0.524608492851	-0.433734953403	s_iv	1062.66	2.87701e-11	
0.524608492851	-0.393574297428	s_iv	1062.66	2.46507e-11	
0.524608492851	-0.353413641453	s_iv	1062.66	2.09076e-11	
0.524608492851	-0.31325301528	s_iv	1062.66	1.75556e-11	
0.524608492851	-0.273092359304	s_iv	1062.66	1.45967e-11	
0.524608492851	-0.232931733131	s_iv	1062.66	1.20209e-11	
0.524608492851	-0.192771077156	s_iv	1062.66	9.80865e-12	
0.524608492851	-0.152610436082	s_iv	1062.66	7.93295e-12	
0.524608492851	-0.112449802458	s_iv	1062.66	6.36203e-12	
0.524608492851	-0.0722891539335	s_iv	1062.66	5.06153e-12	
0.524608492851	-0.0321285128593	s_iv	1062.66	3.99657e-12	
0.524608492851	0.00803212821484	s_iv	1062.66	3.13331e-12	
0.524608492851	0.048192769289	s_iv	1062.66	2.44012e-12	
0.524608492851	0.0883534103632	s_iv	1062.66	1.88838e-12	
0.524608492851	0.128514051437	s_iv	1062.66	1.45277e-12	
0.524608492851	0.168674692512	s_iv	1062.66	1.11142e-12	
0.524608492851	0.208835348487	s_iv	1062.66	8.45807e-13	
0.524608492851	0.248995989561	s_iv	1062.66	6.40458e-13	
0.524608492851	0.289156615734	s_iv	1062.66	4.82659e-13	
0.524608492851	0.329317271709	s_iv	1062.66	3.62085e-13	
0.524608492851	0.369477897882	s_iv	1062.66	2.70444e-13	
0.524608492851	0.409638553858	s_iv	1062.66	2.01144e-13	
0.524608492851	0.449799209833	s_iv	1062.66	1.4899e-13	
0.524608492851	0.489959836006	s_iv	1062.66	1.09918e-13	
0.524608492851	0.530120491982	s_iv	1062.66	8.07771e-14	
0.524608492851	0.570281147957	s_iv	1062.66	5.91347e-14	
0.524608492851	0.610441744328	s_iv	1062.66	4.31279e-14	
0.524608492851	0.650602400303	s_iv	1062.66	3.1337e-14	
0.524608492851	0.690763056278	s_iv	1062.66	2.26858e-14	
0.524608492851	0.730923712254	s_iv	1062.66	1.63629e-14	
0.524608492851	0.771084308624	s_iv	1062.66	1.17594e-14	
0.524608492851	0.8112449646	s_iv	1062.66	8.42031e-15	
0.524608492851	0.851405620575	s_iv	1062.66	6.00745e-15	
0.524608492851	0.89156627655	s_iv	1062.66	4.27035e-15	
0.524608492851	0.931726932526	s_iv	1062.66	3.02438e-15	
0.524608492851	0.971887528896	s_iv	1062.66	2.13398e-15	
0.524608492851	1.01204824448	s_iv	1062.66	1.50004e-15	
0.524608492851	1.05220878124	s_iv	1062.66	1.05036e-15	
0.524608492851	1.09236943722	s_iv	1062.66	7.32584e-16	
