# Athena++ data at time=6.210000e+12  cycle=517210469  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
172 1.36003e+18 6.86243e-20 1.66529e-06 763196 0.301785 0 
173 1.36207e+18 6.8229e-20 1.65808e-06 765308 0.302612 0 
174 1.36411e+18 6.7837e-20 1.65094e-06 767418 0.303435 0 
175 1.36614e+18 6.74481e-20 1.64387e-06 769527 0.304254 0 
176 1.36818e+18 6.70624e-20 1.63685e-06 771635 0.305069 0 
177 1.37022e+18 6.66798e-20 1.62989e-06 773741 0.30588 0 
178 1.37226e+18 6.63002e-20 1.62299e-06 775847 0.306686 0 
179 1.37429e+18 6.59236e-20 1.61616e-06 777952 0.307489 0 
180 1.37633e+18 6.555e-20 1.60938e-06 780056 0.308288 0 
181 1.37837e+18 6.51793e-20 1.60265e-06 782160 0.309082 0 
182 1.38041e+18 6.48115e-20 1.59599e-06 784263 0.309873 0 
183 1.38244e+18 6.44466e-20 1.58938e-06 786366 0.31066 0 
184 1.38448e+18 6.40845e-20 1.58283e-06 788469 0.311443 0 
185 1.38652e+18 6.37252e-20 1.57633e-06 790571 0.312222 0 
186 1.38856e+18 6.33686e-20 1.56988e-06 792674 0.312998 0 
187 1.39059e+18 6.30148e-20 1.5635e-06 794777 0.313769 0 
188 1.39263e+18 6.26636e-20 1.55716e-06 796880 0.314537 0 
189 1.39467e+18 6.23151e-20 1.55088e-06 798983 0.315302 0 
190 1.39671e+18 6.19692e-20 1.54465e-06 801088 0.316062 0 
191 1.39874e+18 6.16258e-20 1.53847e-06 803193 0.316819 0 
192 1.40078e+18 6.1285e-20 1.53235e-06 805298 0.317573 0 
193 1.40282e+18 6.09467e-20 1.52627e-06 807405 0.318323 0 
194 1.40486e+18 6.06109e-20 1.52025e-06 809513 0.31907 0 
195 1.40689e+18 6.02775e-20 1.51427e-06 811622 0.319813 0 
196 1.40893e+18 5.99464e-20 1.50835e-06 813733 0.320552 0 
197 1.41097e+18 5.96178e-20 1.50247e-06 815845 0.321289 0 
198 1.41301e+18 5.92914e-20 1.49664e-06 817959 0.322022 0 
199 1.41504e+18 5.89674e-20 1.49086e-06 820074 0.322751 0 
200 1.41708e+18 5.86455e-20 1.48513e-06 822192 0.323478 0 
201 1.41912e+18 5.83259e-20 1.47945e-06 824313 0.324201 0 
202 1.42116e+18 5.80085e-20 1.47381e-06 826435 0.324921 0 
203 1.42319e+18 5.76932e-20 1.46822e-06 828561 0.325637 0 
204 1.42523e+18 5.738e-20 1.46267e-06 830689 0.326351 0 
205 1.42727e+18 5.70688e-20 1.45717e-06 832821 0.327061 0 
206 1.42931e+18 5.67597e-20 1.45171e-06 834956 0.327769 0 
207 1.43134e+18 5.64525e-20 1.4463e-06 837096 0.328473 0 
208 1.43338e+18 5.61473e-20 1.44093e-06 839239 0.329174 0 
209 1.43542e+18 5.5844e-20 1.4356e-06 841388 0.329873 0 
210 1.43746e+18 5.55425e-20 1.43032e-06 843541 0.330568 0 
211 1.43949e+18 5.52428e-20 1.42508e-06 845700 0.33126 0 
212 1.44153e+18 5.49449e-20 1.41988e-06 847865 0.33195 0 
213 1.44357e+18 5.46487e-20 1.41473e-06 850037 0.332636 0 
214 1.44561e+18 5.43542e-20 1.40961e-06 852216 0.33332 0 
215 1.44764e+18 5.40613e-20 1.40454e-06 854404 0.334001 0 
216 1.44968e+18 5.37699e-20 1.39951e-06 856600 0.334679 0 
217 1.45172e+18 5.34801e-20 1.39452e-06 858806 0.335355 0 
218 1.45376e+18 5.31917e-20 1.38956e-06 861022 0.336027 0 
219 1.45579e+18 5.29047e-20 1.38465e-06 863248 0.336697 0 
220 1.45783e+18 5.26191e-20 1.37978e-06 865485 0.337365 0 
221 1.45987e+18 5.2335e-20 1.37495e-06 867726 0.338029 0 
222 1.46191e+18 5.20544e-20 1.37016e-06 869938 0.338691 0 
223 1.46394e+18 5.17914e-20 1.36539e-06 871953 0.339351 0 
